product_id	description	price	stock	Company	Category	description_details
P001	Premium Cat Brush	32.16	95	Whisker Wonders Co.	Leisure	Made for playful cats.
P002	Compact Cat Bed	74.9175	82	Purrfection Unlimited	Bowls & Feeders	Ideal for healthy cats.
P003	Ultra Cat Food	66.075	30	Cat Craze	Bowls & Feeders	Perfect for pampered cats.
P004	Premium Cat Collar	11.6325	63	Claw & Order	Scratching Posts	Perfect for pampered cats.
P005	Eco-friendly Cat Carrier	33.6525	28	Purrfectly Practical	Accessories	Ideal for stylish cats.
P006	Ultra Cat Toy	23.925	40	Claw-some Goods	Toys	Designed for pampered cats.
P007	Premium Cat Scratcher	30.1725	38	Tabby Treasures	Decor	Perfect for playful cats.
P008	Compact Cat Collar	17.475	48	Claw & Paws	Training	Made for adventurous cats.
P009	Deluxe Cat Tree	68.3025	17	Purr-sue Happiness	Electronics	Designed for stylish cats.
P010	Ultra Cat Collar	45.8475	3	Claw & Order	Training	Best for stylish cats.
P011	Eco-friendly Cat Collar	67.17	21	Pawsh	Carriers	Perfect for playful cats.
P012	Premium Cat Tree	37.08	53	Kitty Chic	Leisure	Designed for pampered cats.
P013	Compact Cat Scratcher	11.34	18	Purr-sue Happiness	Beds	Ideal for adventurous cats.
P014	Deluxe Cat Food	74.5725	29	Fur Real Supplies	Leisure	Best for healthy cats.
P015	Ultra Cat Litter Box	12.8025	57	Mew-niverse	Gifts	Perfect for pampered cats.
P016	Premium Cat Litter Box	43.14	15	Whisker Whisperers	Gifts	Best for playful cats.
P017	Eco-friendly Cat Toy	61.4925	54	Claw & Order	Accessories	Made for adventurous cats.
P018	Premium Cat Treat	39.3375	94	Purr-fectly Pawsible	Food	Designed for pampered cats.
P019	Premium Cat Litter Box	37.5525	57	Cat Corner Co.	Scratching Posts	Made for playful cats.
P020	Eco-friendly Cat Toy	63.855	92	Pawsitively Purrfect	Decor	Ideal for stylish cats.
P021	Ultra Cat Collar	48.18	44	Whisker Wares	Health	Designed for healthy cats.
P022	Ultra Cat Bed	9.465	70	Feline Finds	Accessories	Perfect for adventurous cats.
P023	Eco-friendly Cat Food	53.7975	47	Tabby Trading	Bowls & Feeders	Ideal for adventurous cats.
P024	Ultra Cat Carrier	9.1875	43	Claw & Order	Scratching Posts	Ideal for playful cats.
P025	Deluxe Cat Treat	58.035	82	Tail Waggers	Grooming	Ideal for healthy cats.
P026	Eco-friendly Cat Treat	55.5975	60	Meowgic	Health	Perfect for adventurous cats.
P027	Compact Cat Food	13.965	100	Meow & More	Health	Ideal for pampered cats.
P028	Eco-friendly Cat Scratcher	13.095	44	Whisker Warehouse	Toys	Perfect for playful cats.
P029	Deluxe Cat Food	25.02	83	Purr-sonalized Picks	Food	Ideal for adventurous cats.
P030	Deluxe Cat Toy	21.4575	100	Claw-some Goods	Carriers	Best for playful cats.
P031	Ultra Cat Carrier	31.785	91	Tail Waggers	Electronics	Made for pampered cats.
P032	Compact Cat Treat	53.595	79	Fur-niture for Cats	Accessories	Made for stylish cats.
P033	Compact Cat Treat	32.4975	27	Meow & Co.	Beds	Made for adventurous cats.
P034	Eco-friendly Cat Scratcher	69.24	19	Feline Finds	Bowls & Feeders	Perfect for pampered cats.
P035	Eco-friendly Cat Brush	44.7975	81	Tail Traders	Training	Perfect for playful cats.
P036	Compact Cat Collar	47.94	24	Tabby Trading	Grooming	Perfect for adventurous cats.
P037	Compact Cat Treat	46.7775	81	Fur-niture for Cats	Seasonal	Perfect for stylish cats.
P038	Deluxe Cat Food	30.0825	32	Whisker Wonders	Seasonal	Made for pampered cats.
P039	Compact Cat Brush	57.9075	98	Paw Prints Co.	Gifts	Best for pampered cats.
P040	Ultra Cat Treat	29.04	22	Claw & Order	Scratching Posts	Designed for healthy cats.
P041	Deluxe Cat Tree	24.4275	81	Purr-fectly Pawsible	Accessories	Made for pampered cats.
P042	Deluxe Cat Litter Box	67.875	11	Purr-sue Happiness	Clothing	Best for pampered cats.
P043	Eco-friendly Cat Toy	60.795	45	Catify	Decor	Perfect for stylish cats.
P044	Compact Cat Bed	37.5075	17	Cat Corner Co.	Grooming	Designed for pampered cats.
P045	Premium Cat Scratcher	30.885	78	Cat Craze	Electronics	Best for healthy cats.
P046	Deluxe Cat Tree	64.8675	87	Cat Craze	Toys	Ideal for healthy cats.
P047	Ultra Cat Scratcher	68.34	13	Meow & Co.	Grooming	Ideal for stylish cats.
P048	Eco-friendly Cat Tree	35.7375	21	Purrfectly Practical	Apparel	Perfect for healthy cats.
P049	Compact Cat Litter Box	58.8975	37	Whisker Wonders	Seasonal	Designed for healthy cats.
P050	Ultra Cat Brush	20.8875	4	Whiskerful Wonders	Scratching Posts	Ideal for pampered cats.
P051	Deluxe Cat Tree	13.425	17	Kitty Chic	Grooming	Designed for pampered cats.
P052	Deluxe Cat Scratcher	10.0575	74	Tailor Made for Cats	Food	Designed for healthy cats.
P053	Ultra Cat Food	11.385	100	Pawsitive Finds	Toys	Best for healthy cats.
P054	Compact Cat Collar	5.1075	31	Fur Real Supplies	Clothing	Ideal for adventurous cats.
P055	Eco-friendly Cat Collar	13.56	80	Kitty Komforts	Leisure	Perfect for healthy cats.
P056	Ultra Cat Bed	34.3575	39	Paw-sibilities Unlimited	Electronics	Designed for pampered cats.
P057	Compact Cat Food	63.21	71	Meow Mart	Outdoor	Ideal for adventurous cats.
P058	Eco-friendly Cat Treat	36.825	19	Meow & Co.	Electronics	Designed for adventurous cats.
P059	Ultra Cat Brush	74.235	20	Mew-tique	Furniture	Best for pampered cats.
P060	Eco-friendly Cat Tree	66.0975	63	Pawsitively Purrfect	Furniture	Perfect for playful cats.
P061	Ultra Cat Toy	36.7125	6	Whisker Warehouse	Safety	Ideal for healthy cats.
P062	Deluxe Cat Toy	62.4525	92	Whisker Warehouse	Apparel	Designed for stylish cats.
P063	Deluxe Cat Collar	37.635	91	Tabby Trading	Bowls & Feeders	Made for pampered cats.
P064	Compact Cat Scratcher	56.3625	34	Catify	Beds	Ideal for stylish cats.
P065	Premium Cat Collar	36.75	50	Whisker Wonders	Outdoor	Made for healthy cats.
P066	Ultra Cat Collar	29.9325	15	Purrfection Unlimited	Carriers	Designed for adventurous cats.
P067	Eco-friendly Cat Tree	10.1625	72	Kitty Kingdom	Beds	Ideal for playful cats.
P068	Ultra Cat Food	43.23	71	Fur Real Supplies	Grooming	Made for pampered cats.
P069	Ultra Cat Brush	67.6425	41	Claw & Order	Apparel	Perfect for adventurous cats.
P070	Deluxe Cat Collar	8.0325	74	Whisker Whisperers	Outdoor	Made for stylish cats.
P071	Premium Cat Tree	37.0875	59	Tailor Made for Cats	Gifts	Designed for adventurous cats.
P072	Premium Cat Tree	45.1125	7	Cat Craze	Safety	Designed for healthy cats.
P073	Premium Cat Litter Box	32.025	76	Purr-chase Paradise	Scratching Posts	Designed for adventurous cats.
P074	Deluxe Cat Collar	74.3025	81	Claw-some Goods	Outdoor	Perfect for playful cats.
P075	Eco-friendly Cat Carrier	60.8325	22	Kitty Kingdom	Accessories	Ideal for stylish cats.
P076	Deluxe Cat Food	24	1	Claw & Paws	Grooming	Designed for pampered cats.
P077	Compact Cat Tree	68.1675	10	Whisker Wonders Co.	Training	Made for pampered cats.
P078	Compact Cat Brush	45.105	33	Fur-endly Goods	Decor	Ideal for adventurous cats.
P079	Premium Cat Toy	42.465	33	Catify	Grooming	Made for adventurous cats.
P080	Compact Cat Bed	10.1925	86	Kitty Chic	Toys	Perfect for adventurous cats.
P081	Premium Cat Tree	40.1625	77	Tabby Treasures	Bowls & Feeders	Ideal for playful cats.
P082	Deluxe Cat Treat	61.065	99	Pawsitive Finds	Seasonal	Designed for healthy cats.
P083	Ultra Cat Collar	18.6525	15	Tabby Trading	Furniture	Ideal for adventurous cats.
P084	Eco-friendly Cat Scratcher	27.8025	3	Cat Craze	Training	Ideal for pampered cats.
P085	Eco-friendly Cat Carrier	59.3325	53	Mew-niverse	Clothing	Ideal for playful cats.
P086	Eco-friendly Cat Brush	8.865	26	Kitty Komforts	Grooming	Perfect for pampered cats.
P087	Premium Cat Collar	69.6675	0	Purr-fectly Pawsible	Gifts	Best for playful cats.
P088	Compact Cat Collar	56.13	87	Tailor Made for Cats	Apparel	Perfect for healthy cats.
P089	Eco-friendly Cat Carrier	32.9775	72	Meow & More	Training	Perfect for adventurous cats.
P090	Compact Cat Treat	10.395	4	Cat-tastic Supplies	Toys	Best for playful cats.
P091	Compact Cat Litter Box	4.1625	33	Tabby Trading	Seasonal	Perfect for adventurous cats.
P092	Compact Cat Litter Box	21.945	66	Purr-sonalized Picks	Safety	Ideal for adventurous cats.
P093	Compact Cat Collar	26.55	59	Fur-tune Goods	Apparel	Best for pampered cats.
P094	Eco-friendly Cat Toy	55.6725	7	Fur-midable Finds	Safety	Best for playful cats.
P095	Compact Cat Scratcher	50.55	98	Purrfection Unlimited	Beds	Perfect for stylish cats.
P096	Compact Cat Treat	40.4475	53	Fur-midable Finds	Clothing	Designed for healthy cats.
P097	Compact Cat Bed	42.495	79	Fur Real Supplies	Furniture	Ideal for healthy cats.
P098	Ultra Cat Treat	12.81	70	Meow Mart	Leisure	Designed for pampered cats.
P099	Premium Cat Food	7.9575	73	Tabby Treasures	Seasonal	Ideal for adventurous cats.
P100	Premium Cat Litter Box	35.04	100	Purrfection Unlimited	Food	Best for pampered cats.
P101	Premium Cat Collar	74.5725	61	Kitty Komforts	Training	Perfect for stylish cats.
P102	Compact Cat Collar	46.125	7	Pawsitively Purrfect	Bowls & Feeders	Made for stylish cats.
P103	Deluxe Cat Collar	32.4075	17	Purrfectly Practical	Electronics	Perfect for healthy cats.
P104	Ultra Cat Carrier	15.5175	0	Tail Waggers	Apparel	Perfect for adventurous cats.
P105	Compact Cat Food	19.2375	29	Claw & Order	Safety	Made for adventurous cats.
P106	Compact Cat Food	32.0475	84	Paw Prints Co.	Clothing	Perfect for stylish cats.
P107	Deluxe Cat Treat	63.48	22	Purrchandise	Decor	Made for pampered cats.
P108	Ultra Cat Treat	41.0625	45	Mew Market	Leisure	Designed for playful cats.
P109	Ultra Cat Tree	36.1575	25	Kitty Chic	Leisure	Designed for stylish cats.
P110	Eco-friendly Cat Litter Box	14.5125	81	Mew-tique	Gifts	Ideal for healthy cats.
P111	Deluxe Cat Brush	52.1925	82	Kitty Kingdom	Electronics	Ideal for playful cats.
P112	Compact Cat Brush	9.9525	32	Whiskerful Wonders	Bowls & Feeders	Perfect for stylish cats.
P113	Ultra Cat Litter Box	8.76	95	Kitty Kingdom	Furniture	Ideal for adventurous cats.
P114	Ultra Cat Toy	22.575	46	Claw & Paws	Decor	Ideal for pampered cats.
P115	Compact Cat Treat	66.315	94	Tail Traders	Apparel	Made for healthy cats.
P116	Premium Cat Litter Box	37.575	33	Catify	Health	Made for healthy cats.
P117	Eco-friendly Cat Food	55.7625	7	Whisker Wonders	Training	Ideal for pampered cats.
P118	Premium Cat Food	50.6025	35	Claw-some Goods	Training	Perfect for healthy cats.
P119	Premium Cat Treat	19.3575	60	Purr-chase Paradise	Grooming	Designed for pampered cats.
P120	Ultra Cat Bed	13.9575	99	Kitty Komforts	Seasonal	Best for stylish cats.
P121	Premium Cat Litter Box	20.175	86	Fur-niture for Cats	Training	Perfect for playful cats.
P122	Premium Cat Brush	25.5825	22	Fur-tune Goods	Health	Ideal for pampered cats.
P123	Deluxe Cat Food	44.55	34	Catify	Safety	Made for pampered cats.
P124	Premium Cat Collar	56.9025	48	Mew-niverse	Accessories	Ideal for playful cats.
P125	Ultra Cat Food	16.515	25	Whisker Wonders	Health	Ideal for adventurous cats.
P126	Eco-friendly Cat Bed	52.02	42	Purr-chase Paradise	Scratching Posts	Best for healthy cats.
P127	Premium Cat Bed	19.545	63	Whisker Whisperers	Gifts	Designed for pampered cats.
P128	Compact Cat Collar	12.3975	94	Pawsitively Purrfect	Electronics	Best for healthy cats.
P129	Deluxe Cat Treat	17.8875	50	Kitty Kingdom	Seasonal	Designed for healthy cats.
P130	Ultra Cat Tree	52.65	23	Claw & Order	Scratching Posts	Best for pampered cats.
P131	Ultra Cat Brush	22.5075	12	Paw Prints Co.	Toys	Designed for adventurous cats.
P132	Ultra Cat Bed	42.6	39	Purr & Co.	Gifts	Ideal for playful cats.
P133	Deluxe Cat Collar	56.6025	7	Purrfection Unlimited	Apparel	Perfect for pampered cats.
P134	Eco-friendly Cat Food	74.6925	88	Whisker Warehouse	Outdoor	Best for stylish cats.
P135	Compact Cat Brush	62.325	34	Kitty Kingdom	Health	Perfect for healthy cats.
P136	Premium Cat Scratcher	66.0075	57	Mew Market	Safety	Perfect for stylish cats.
P137	Premium Cat Scratcher	52.365	62	Claw-some Goods	Leisure	Designed for pampered cats.
P138	Ultra Cat Food	9.39	82	Tail Traders	Seasonal	Made for pampered cats.
P139	Eco-friendly Cat Brush	8.5575	65	Purrchandise	Food	Perfect for playful cats.
P140	Compact Cat Toy	47.28	86	Catify	Leisure	Perfect for playful cats.
P141	Deluxe Cat Bed	35.9925	64	Fur Real Supplies	Gifts	Made for playful cats.
P142	Premium Cat Bed	63.03	62	Whisker Wonders Co.	Scratching Posts	Ideal for stylish cats.
P143	Eco-friendly Cat Litter Box	12.27	59	Meow Mart	Grooming	Ideal for healthy cats.
P144	Compact Cat Treat	62.8425	46	Cat-tastic Supplies	Outdoor	Ideal for stylish cats.
P145	Deluxe Cat Collar	19.3875	94	Cat-tastic Supplies	Scratching Posts	Ideal for healthy cats.
P146	Premium Cat Food	53.73	95	Whisker Wonders	Bowls & Feeders	Designed for stylish cats.
P147	Compact Cat Collar	51.525	34	Purr-fectly Pawsible	Carriers	Perfect for healthy cats.
P148	Ultra Cat Toy	10.05	100	Tabby Trading	Scratching Posts	Made for healthy cats.
P149	Eco-friendly Cat Scratcher	22.185	77	Catify	Safety	Perfect for healthy cats.
P150	Premium Cat Carrier	52.8375	56	Claw-some Goods	Health	Perfect for pampered cats.
P151	Compact Cat Toy	33.7575	1	Whisker Wonders	Food	Ideal for healthy cats.
P152	Compact Cat Food	67.185	69	Whisker Wonders Co.	Safety	Perfect for adventurous cats.
P153	Deluxe Cat Bed	69.705	38	Whisker Wonders	Food	Best for pampered cats.
