product_id	description	price	stock
P001	Cat Brush	32.16	95
P002	Cat Bed	74.9175	82
P003	Cat Food	66.075	30
P004	Cat Collar	11.6325	63
P005	Cat Carrier	33.6525	28
P006	Cat Toy	23.925	40
P007	Cat Scratcher	30.1725	38
P008	Cat Collar	17.475	48
P009	Cat Tree	68.3025	17
P010	Cat Collar	45.8475	3
P011	Cat Collar	67.17	21
P012	Cat Tree	37.08	53
P013	Cat Scratcher	11.34	18
P014	Cat Food	74.5725	29
P015	Cat Litter Box	12.8025	57
P016	Cat Litter Box	43.14	15
P017	Cat Toy	61.4925	54
P018	Cat Treat	39.3375	94
P019	Cat Litter Box	37.5525	57
P020	Cat Toy	63.855	92
P021	Cat Collar	48.18	44
P022	Cat Bed	9.465	70
P023	Cat Food	53.7975	47
P024	Cat Carrier	9.1875	43
P025	Cat Treat	58.035	82
P026	Cat Treat	55.5975	60
P027	Cat Food	13.965	100
P028	Cat Scratcher	13.095	44
P029	Cat Food	25.02	83
P030	Cat Toy	21.4575	100
P031	Cat Carrier	31.785	91
P032	Cat Treat	53.595	79
P033	Cat Treat	32.4975	27
P034	Cat Scratcher	69.24	19
P035	Cat Brush	44.7975	81
P036	Cat Collar	47.94	24
P037	Cat Treat	46.7775	81
P038	Cat Food	30.0825	32
P039	Cat Brush	57.9075	98
P040	Cat Treat	29.04	22
P041	Cat Tree	24.4275	81
P042	Cat Litter Box	67.875	11
P043	Cat Toy	60.795	45
P044	Cat Bed	37.5075	17
P045	Cat Scratcher	30.885	78
P046	Cat Tree	64.8675	87
P047	Cat Scratcher	68.34	13
P048	Cat Tree	35.7375	21
P049	Cat Litter Box	58.8975	37
P050	Cat Brush	20.8875	4
P051	Cat Tree	13.425	17
P052	Cat Scratcher	10.0575	74
P053	Cat Food	11.385	100
P054	Cat Collar	5.1075	31
P055	Cat Collar	13.56	80
P056	Cat Bed	34.3575	39
P057	Cat Food	63.21	71
P058	Cat Treat	36.825	19
P059	Cat Brush	74.235	20
P060	Cat Tree	66.0975	63
P061	Cat Toy	36.7125	6
P062	Cat Toy	62.4525	92
P063	Cat Collar	37.635	91
P064	Cat Scratcher	56.3625	34
P065	Cat Collar	36.75	50
P066	Cat Collar	29.9325	15
P067	Cat Tree	10.1625	72
P068	Cat Food	43.23	71
P069	Cat Brush	67.6425	41
P070	Cat Collar	8.0325	74
P071	Cat Tree	37.0875	59
P072	Cat Tree	45.1125	7
P073	Cat Litter Box	32.025	76
P074	Cat Collar	74.3025	81
P075	Cat Carrier	60.8325	22
P076	Cat Food	24	1
P077	Cat Tree	68.1675	10
P078	Cat Brush	45.105	33
P079	Cat Toy	42.465	33
P080	Cat Bed	10.1925	86
P081	Cat Tree	40.1625	77
P082	Cat Treat	61.065	99
P083	Cat Collar	18.6525	15
P084	Cat Scratcher	27.8025	3
P085	Cat Carrier	59.3325	53
P086	Cat Brush	8.865	26
P087	Cat Collar	69.6675	0
P088	Cat Collar	56.13	87
P089	Cat Carrier	32.9775	72
P090	Cat Treat	10.395	4
P091	Cat Litter Box	4.1625	33
P092	Cat Litter Box	21.945	66
P093	Cat Collar	26.55	59
P094	Cat Toy	55.6725	7
P095	Cat Scratcher	50.55	98
P096	Cat Treat	40.4475	53
P097	Cat Bed	42.495	79
P098	Cat Treat	12.81	70
P099	Cat Food	7.9575	73
P100	Cat Litter Box	35.04	100
P101	Cat Collar	74.5725	61
P102	Cat Collar	46.125	7
P103	Cat Collar	32.4075	17
P104	Cat Carrier	15.5175	0
P105	Cat Food	19.2375	29
P106	Cat Food	32.0475	84
P107	Cat Treat	63.48	22
P108	Cat Treat	41.0625	45
P109	Cat Tree	36.1575	25
P110	Cat Litter Box	14.5125	81
P111	Cat Brush	52.1925	82
P112	Cat Brush	9.9525	32
P113	Cat Litter Box	8.76	95
P114	Cat Toy	22.575	46
P115	Cat Treat	66.315	94
P116	Cat Litter Box	37.575	33
P117	Cat Food	55.7625	7
P118	Cat Food	50.6025	35
P119	Cat Treat	19.3575	60
P120	Cat Bed	13.9575	99
P121	Cat Litter Box	20.175	86
P122	Cat Brush	25.5825	22
P123	Cat Food	44.55	34
P124	Cat Collar	56.9025	48
P125	Cat Food	16.515	25
P126	Cat Bed	52.02	42
P127	Cat Bed	19.545	63
P128	Cat Collar	12.3975	94
P129	Cat Treat	17.8875	50
P130	Cat Tree	52.65	23
P131	Cat Brush	22.5075	12
P132	Cat Bed	42.6	39
P133	Cat Collar	56.6025	7
P134	Cat Food	74.6925	88
P135	Cat Brush	62.325	34
P136	Cat Scratcher	66.0075	57
P137	Cat Scratcher	52.365	62
P138	Cat Food	9.39	82
P139	Cat Brush	8.5575	65
P140	Cat Toy	47.28	86
P141	Cat Bed	35.9925	64
P142	Cat Bed	63.03	62
P143	Cat Litter Box	12.27	59
P144	Cat Treat	62.8425	46
P145	Cat Collar	19.3875	94
P146	Cat Food	53.73	95
P147	Cat Collar	51.525	34
P148	Cat Toy	10.05	100
P149	Cat Scratcher	22.185	77
P150	Cat Carrier	52.8375	56
P151	Cat Toy	33.7575	1
P152	Cat Food	67.185	69
P153	Cat Bed	69.705	38
P154	Cat Brush	55.8075	86
P155	Cat Carrier	15.0525	29
P156	Cat Brush	44.2125	93
P157	Cat Carrier	8.25	31
P158	Cat Food	16.065	51
P159	Cat Brush	51.105	0
P160	Cat Food	36.5775	58
P161	Cat Toy	20.9025	79
P162	Cat Bed	5.73	78
